DEPTH,GR,RD,RS,DEN,DTC,Well,Layer
4806.9243,91.242,1.994,2.203,2.441,81.968,HD4-89H,C2
4806.9243,72.786,2.311,2.008,2.324,87.559,HD4-59H,C3
4806.9243,70.728,7.103,8.644,2.681,60.638,HD3,C2
4806.9248,76.851,1.569,1.421,2.363,84.696,HD4-101H,C2
4806.9248,83.891,1.634,1.437,2.29,82.92,HD4-H97,C2
4806.9248,89.963,1.77,1.446,2.257,82.852,HD11-6H,C2
4806.9248,80.313,2.105,1.914,2.408,84.598,HD11-7H,C2
4806.9248,63.943,2.386,1.639,2.296,75.216,HD4-68H,C2
4806.9248,85.013,2.498,2.284,2.425,80.295,HD11-5-5H,C2
4806.9248,78.412,2.788,1.898,2.376,79.507,HD2-4H,C2
4806.9248,68.373,2.868,2.561,2.255,67.46,HD4-60H,C2
4806.9248,73.142,2.875,2.492,2.374,70.16,HD11-8H,C2
4806.9248,76.863,3.115,2.896,2.451,72.717,HD4-H100,C2
4806.9248,45.889,3.519,3.897,2.553,66.202,HD4-53,C2
4806.9248,74.503,3.759,2.533,2.639,62.33,HD4-58H,C2
4806.9248,69.124,3.785,3.517,2.474,71.559,HD4-19H,C2
4806.9248,71.43,4.308,2.542,2.155,74.787,HD4-24H,C2
4806.9248,69.212,4.375,4.329,2.508,69.391,HD1-H34,C2
4806.9253,76.603,1.819,1.639,2.34,94.759,HD4-32H,C2
4806.9253,88.724,2.137,1.832,2.376,89.228,HD4-22H,C2
4806.9253,96.101,2.974,2.906,2.598,70.638,HD12,C3
4806.9624,91.026,2.047,2.266,2.449,81.215,HD4-89H,C2
4806.9629,85.944,2.509,2.29,2.435,80.331,HD11-5-5H,C2
4806.9629,77.277,3.107,2.894,2.449,72.568,HD4-H100,C2
4806.9722,80.719,3.251,2.411,2.559,72.487,HD1-19H,C2
4806.9976,77.509,4.609,4.791,2.638,73.995,HD1-6H,C2
